game_id,title,platform,risk_level,status,decision,decision_reason,reviewer_notes,prompt_pack_json,prompt_pack_md,selected_for_generation
the-legend-of-zelda-ocarina-of-time-nintendo-64,The Legend of Zelda: Ocarina of Time,Nintendo 64,high,REVIEWED,APPROVED,strong franchise-safe evocation,"Good hero read, clear landmark, strong atmosphere. Keep as approved reference for this family.",packs/the-legend-of-zelda-ocarina-of-time-nintendo-64.json,packs/the-legend-of-zelda-ocarina-of-time-nintendo-64.md,1
tony-hawks-pro-skater-2-playstation,Tony Hawk's Pro Skater 2,PlayStation,low,REVIEWED,APPROVED,clear sports read and usable hero silhouette,"Good motion, readable trick silhouette, environment supports the subject without clutter.",packs/tony-hawks-pro-skater-2-playstation.json,packs/tony-hawks-pro-skater-2-playstation.md,1
soul-calibur-dreamcast,Soul Calibur,Dreamcast,medium,REVIEWED,RETRY,crowd scene destroyed focal readability,"Needs one duelist only, one blade, and a stage landmark. Current image reads as a spectacle, not a duel.",packs/soul-calibur-dreamcast.json,packs/soul-calibur-dreamcast.md,
castlevania-rondo-of-blood-turbografx-16,Castlevania: Rondo of Blood,TurboGrafx-16,high,REVIEWED,APPROVED,strong gothic hero visual,"Strong silhouette, readable castle destination, good mood and value structure. Safe enough and desirable.",packs/castlevania-rondo-of-blood-turbografx-16.json,packs/castlevania-rondo-of-blood-turbografx-16.md,1
perfect-dark-nintendo-64,Perfect Dark,Nintendo 64,medium,REVIEWED,RETRY,too noir-generic and not enough sci-fi espionage,"Corridor is clean but the operative reads like a generic detective/guard. Needs colder sci-fi facility identity.",packs/perfect-dark-nintendo-64.json,packs/perfect-dark-nintendo-64.md,
tetris-game-boy,Tetris,Game Boy,high,REVIEWED,RETRY,too abstract and not enough playfield memory,"Current image is a cube sculpture. It needs a clear vertical well and one imminent falling piece.",packs/tetris-game-boy.json,packs/tetris-game-boy.md,
super-mario-64-nintendo-64,Super Mario 64,Nintendo 64,high,REVIEWED,RETRY,too geometry-first and not enough course identity,"Needs rounded toy-like 3D terrain and a landmark route. Current image feels like abstract blocks with a runner.",packs/super-mario-64-nintendo-64.json,packs/super-mario-64-nintendo-64.md,
super-metroid-super-nintendo,Super Metroid,Super Nintendo,high,REVIEWED,RETRY,world is strong but the subject cue is wrong,"Alien cavern is good, but the handheld weapon reads like a sword. Needs clearer sci-fi explorer tooling.",packs/super-metroid-super-nintendo.json,packs/super-metroid-super-nintendo.md,
super-mario-bros-3-nintendo-entertainment-system,Super Mario Bros. 3,Nintendo Entertainment System,high,REVIEWED,RETRY,too graphic-flat and weak stage read,"Needs a stronger side-scrolling stage read with one jump arc. Current stripes flatten the scene too much.",packs/super-mario-bros-3-nintendo-entertainment-system.json,packs/super-mario-bros-3-nintendo-entertainment-system.md,
tekken-3-playstation,Tekken 3,PlayStation,high,REVIEWED,RETRY,readable silhouette but weak franchise/world signal,"Current image is cleaner than Soul Calibur but still too abstract. Needs urban or industrial fight-space identity.",packs/tekken-3-playstation.json,packs/tekken-3-playstation.md,
