game_id,title,platform,risk_level,status,decision,decision_reason,reviewer_notes,prompt_pack_json,prompt_pack_md,selected_for_generation
tetris-game-boy,Tetris,Game Boy,high,PENDING_REVIEW,,,,packs/tetris-game-boy.json,packs/tetris-game-boy.md,
super-metroid-super-nintendo,Super Metroid,Super Nintendo,high,PENDING_REVIEW,,,,packs/super-metroid-super-nintendo.json,packs/super-metroid-super-nintendo.md,
super-mario-bros-3-nintendo-entertainment-system,Super Mario Bros. 3,Nintendo Entertainment System,high,PENDING_REVIEW,,,,packs/super-mario-bros-3-nintendo-entertainment-system.json,packs/super-mario-bros-3-nintendo-entertainment-system.md,
tekken-3-playstation,Tekken 3,PlayStation,high,PENDING_REVIEW,,,,packs/tekken-3-playstation.json,packs/tekken-3-playstation.md,
yoshi-island-super-nintendo,Super Mario World 2: Yoshi's Island,Super Nintendo,high,PENDING_REVIEW,,,,packs/yoshi-island-super-nintendo.json,packs/yoshi-island-super-nintendo.md,
the-legend-of-zelda-a-link-to-the-past-super-nintendo,The Legend of Zelda: A Link to the Past,Super Nintendo,high,PENDING_REVIEW,,,,packs/the-legend-of-zelda-a-link-to-the-past-super-nintendo.json,packs/the-legend-of-zelda-a-link-to-the-past-super-nintendo.md,
metal-gear-solid-playstation,Metal Gear Solid,PlayStation,high,PENDING_REVIEW,,,,packs/metal-gear-solid-playstation.json,packs/metal-gear-solid-playstation.md,
castlevania-symphony-of-the-night-playstation,Castlevania: Symphony of the Night,PlayStation,high,PENDING_REVIEW,,,,packs/castlevania-symphony-of-the-night-playstation.json,packs/castlevania-symphony-of-the-night-playstation.md,
kirby-adventure-nintendo-entertainment-system,Kirby's Adventure,Nintendo Entertainment System,high,PENDING_REVIEW,,,,packs/kirby-adventure-nintendo-entertainment-system.json,packs/kirby-adventure-nintendo-entertainment-system.md,
super-mario-world-super-nintendo,Super Mario World,Super Nintendo,high,PENDING_REVIEW,,,,packs/super-mario-world-super-nintendo.json,packs/super-mario-world-super-nintendo.md,
earthbound-super-nintendo,EarthBound,Super Nintendo,high,PENDING_REVIEW,,,,packs/earthbound-super-nintendo.json,packs/earthbound-super-nintendo.md,
vagrant-story-playstation,Vagrant Story,PlayStation,low,PENDING_REVIEW,,,,packs/vagrant-story-playstation.json,packs/vagrant-story-playstation.md,
final-fantasy-vi-super-nintendo,Final Fantasy VI,Super Nintendo,high,PENDING_REVIEW,,,,packs/final-fantasy-vi-super-nintendo.json,packs/final-fantasy-vi-super-nintendo.md,
the-legend-of-zelda-nintendo-entertainment-system,The Legend of Zelda,Nintendo Entertainment System,high,PENDING_REVIEW,,,,packs/the-legend-of-zelda-nintendo-entertainment-system.json,packs/the-legend-of-zelda-nintendo-entertainment-system.md,
final-fantasy-vii-playstation,Final Fantasy VII,PlayStation,high,PENDING_REVIEW,,,,packs/final-fantasy-vii-playstation.json,packs/final-fantasy-vii-playstation.md,
oracle-of-ages-game-boy,The Legend of Zelda: Oracle of Ages,Game Boy,high,PENDING_REVIEW,,,,packs/oracle-of-ages-game-boy.json,packs/oracle-of-ages-game-boy.md,
oracle-of-seasons-game-boy,The Legend of Zelda: Oracle of Seasons,Game Boy,high,PENDING_REVIEW,,,,packs/oracle-of-seasons-game-boy.json,packs/oracle-of-seasons-game-boy.md,
pokemon-gold-game-boy,Pokémon Gold,Game Boy,low,PENDING_REVIEW,,,,packs/pokemon-gold-game-boy.json,packs/pokemon-gold-game-boy.md,
pokemon-silver-game-boy,Pokémon Silver,Game Boy,low,PENDING_REVIEW,,,,packs/pokemon-silver-game-boy.json,packs/pokemon-silver-game-boy.md,
mike-tysons-punch-out-nintendo-entertainment-system,Mike Tyson's Punch-Out!!,Nintendo Entertainment System,low,PENDING_REVIEW,,,,packs/mike-tysons-punch-out-nintendo-entertainment-system.json,packs/mike-tysons-punch-out-nintendo-entertainment-system.md,
donkey-kong-country-2-super-nintendo,Donkey Kong Country 2,Super Nintendo,high,PENDING_REVIEW,,,,packs/donkey-kong-country-2-super-nintendo.json,packs/donkey-kong-country-2-super-nintendo.md,
resident-evil-2-playstation,Resident Evil 2,PlayStation,high,PENDING_REVIEW,,,,packs/resident-evil-2-playstation.json,packs/resident-evil-2-playstation.md,
tetris-dx-game-boy,Tetris DX,Game Boy,high,PENDING_REVIEW,,,,packs/tetris-dx-game-boy.json,packs/tetris-dx-game-boy.md,
the-legend-of-zelda-links-awakening-game-boy,The Legend of Zelda: Link's Awakening,Game Boy,high,PENDING_REVIEW,,,,packs/the-legend-of-zelda-links-awakening-game-boy.json,packs/the-legend-of-zelda-links-awakening-game-boy.md,
metal-gear-ghost-babel-game-boy,Metal Gear: Ghost Babel,Game Boy,high,PENDING_REVIEW,,,,packs/metal-gear-ghost-babel-game-boy.json,packs/metal-gear-ghost-babel-game-boy.md,
mega-man-2-nintendo-entertainment-system,Mega Man 2,Nintendo Entertainment System,high,PENDING_REVIEW,,,,packs/mega-man-2-nintendo-entertainment-system.json,packs/mega-man-2-nintendo-entertainment-system.md,
pokemon-red-game-boy,Pokémon Red,Game Boy,low,PENDING_REVIEW,,,,packs/pokemon-red-game-boy.json,packs/pokemon-red-game-boy.md,
silent-hill-playstation,Silent Hill,PlayStation,high,PENDING_REVIEW,,,,packs/silent-hill-playstation.json,packs/silent-hill-playstation.md,
crash-bandicoot-playstation,Crash Bandicoot,PlayStation,high,PENDING_REVIEW,,,,packs/crash-bandicoot-playstation.json,packs/crash-bandicoot-playstation.md,
super-mario-bros-nintendo-entertainment-system,Super Mario Bros.,Nintendo Entertainment System,high,PENDING_REVIEW,,,,packs/super-mario-bros-nintendo-entertainment-system.json,packs/super-mario-bros-nintendo-entertainment-system.md,
donkey-kong-country-super-nintendo,Donkey Kong Country,Super Nintendo,high,PENDING_REVIEW,,,,packs/donkey-kong-country-super-nintendo.json,packs/donkey-kong-country-super-nintendo.md,
secret-of-mana-super-nintendo,Secret of Mana,Super Nintendo,low,PENDING_REVIEW,,,,packs/secret-of-mana-super-nintendo.json,packs/secret-of-mana-super-nintendo.md,
super-mario-kart-super-nintendo,Super Mario Kart,Super Nintendo,high,PENDING_REVIEW,,,,packs/super-mario-kart-super-nintendo.json,packs/super-mario-kart-super-nintendo.md,
contra-nintendo-entertainment-system,Contra,Nintendo Entertainment System,low,PENDING_REVIEW,,,,packs/contra-nintendo-entertainment-system.json,packs/contra-nintendo-entertainment-system.md,
duck-tales-nintendo-entertainment-system,DuckTales,Nintendo Entertainment System,medium,PENDING_REVIEW,,,,packs/duck-tales-nintendo-entertainment-system.json,packs/duck-tales-nintendo-entertainment-system.md,
final-fantasy-viii-playstation,Final Fantasy VIII,PlayStation,high,PENDING_REVIEW,,,,packs/final-fantasy-viii-playstation.json,packs/final-fantasy-viii-playstation.md,
castlevania-nintendo-entertainment-system,Castlevania,Nintendo Entertainment System,high,PENDING_REVIEW,,,,packs/castlevania-nintendo-entertainment-system.json,packs/castlevania-nintendo-entertainment-system.md,
super-mario-land-2-game-boy,Super Mario Land 2: 6 Golden Coins,Game Boy,high,PENDING_REVIEW,,,,packs/super-mario-land-2-game-boy.json,packs/super-mario-land-2-game-boy.md,
final-fantasy-tactics-playstation,Final Fantasy Tactics,PlayStation,high,PENDING_REVIEW,,,,packs/final-fantasy-tactics-playstation.json,packs/final-fantasy-tactics-playstation.md,
metroid-nintendo-entertainment-system,Metroid,Nintendo Entertainment System,high,PENDING_REVIEW,,,,packs/metroid-nintendo-entertainment-system.json,packs/metroid-nintendo-entertainment-system.md,
