game_id,status,risk_level,illustration_class,retries,qa_score
panzer-dragoon-saga-sega-saturn,generated,medium,object,2,100
the-legend-of-zelda-ocarina-of-time-nintendo-64,generated,high,object,1,100
radiant-silvergun-sega-saturn,generated,low,hero,0,100
tony-hawks-pro-skater-2-playstation,generated,low,hero,0,100
soul-calibur-dreamcast,generated,medium,object,0,100
castlevania-rondo-of-blood-turbografx-16,generated,high,object,1,100
perfect-dark-nintendo-64,generated,medium,object,0,100
tetris-game-boy,generated,high,abstract,0,100
super-mario-64-nintendo-64,generated,high,object,0,100
super-metroid-super-nintendo,generated,high,object,1,100
super-mario-bros-3-nintendo-entertainment-system,generated,high,object,0,100
tekken-3-playstation,generated,high,object,0,100
goldeneye-007-nintendo-64,generated,medium,object,0,100
gran-turismo-playstation,generated,low,object,0,100
final-fantasy-vi-advance-game-boy-advance,generated,high,object,1,100
yoshi-island-super-nintendo,generated,high,object,0,100
skies-of-arcadia-dreamcast,generated,low,hero,0,100
the-legend-of-zelda-a-link-to-the-past-game-boy-advance,generated,high,object,1,100
the-legend-of-zelda-a-link-to-the-past-super-nintendo,generated,high,object,1,100
majoras-mask-nintendo-64,generated,high,object,2,100
the-legend-of-zelda-majoras-mask-nintendo-64,generated,high,object,1,100
judgement-silversword-wonderswan,generated,low,hero,0,100
metal-gear-solid-playstation,generated,high,object,1,100
conkers-bad-fur-day-nintendo-64,generated,low,hero,0,100
metal-slug-3-neo-geo,generated,low,hero,0,100
ghost-trick-phantom-detective-nintendo-ds,generated,low,object,0,100
chrono-cross-playstation,generated,high,object,1,100
final-fantasy-ix-playstation,generated,high,object,1,100
tony-hawks-pro-skater-2-dreamcast,generated,low,hero,0,100
banjo-kazooie-nintendo-64,generated,high,object,0,100
chrono-trigger-nintendo-ds,generated,high,object,1,100
castlevania-symphony-of-the-night-playstation,flagged,high,object,2,80
ikaruga-dreamcast,generated,low,hero,0,100
999-nine-hours-nine-persons-nine-doors-nintendo-ds,generated,low,object,0,100
gunstar-heroes-sega-genesis,generated,low,hero,0,100
kirby-adventure-nintendo-entertainment-system,generated,high,object,0,100
suikoden-ii-playstation,generated,medium,object,1,100
the-king-of-fighters-98-neo-geo,generated,medium,object,0,100
paper-mario-nintendo-64,generated,high,object,0,100
super-mario-world-super-nintendo,generated,high,object,0,100
earthbound-super-nintendo,generated,high,object,1,100
vagrant-story-playstation,generated,low,hero,0,100
wave-race-64-nintendo-64,generated,low,object,0,100
y-s-book-i-ii-turbografx-16,generated,low,hero,0,100
final-fantasy-vi-super-nintendo,generated,high,object,1,100
dungeons-dragons-collection-sega-saturn,generated,medium,object,1,100
garou-mark-of-the-wolves-neo-geo,generated,medium,object,0,100
advance-wars-game-boy-advance,generated,low,object,0,100
marvel-vs-capcom-2-dreamcast,generated,medium,object,0,100
castlevania-order-of-ecclesia-nintendo-ds,generated,high,object,1,100
